X,Y,Z,MapID,MobType,ScriptName
346,107,0,7,10,tanks
308,85,0,7,10,ballard
326,154,0,7,10,willy
183,173,0,2,184,
136,191,0,2,184,
11,95,0,2,184,
159,87,0,2,11,
159,90,0,2,11,
156,92,0,2,11,
157,88,0,2,11,
159,92,0,2,11,
158,88,0,2,11,
158,89,0,2,11,
130,121,0,2,11,
128,121,0,2,11,
128,122,0,2,11,
128,117,0,2,11,
129,117,0,2,11,
158,124,0,2,11,
130,73,0,2,11,
133,75,0,2,11,
139,79,0,2,11,
135,79,0,2,11,
140,127,0,2,11,
149,108,0,2,11,
159,125,0,2,11,
140,108,0,2,11,
156,125,0,2,11,
141,94,0,2,11,
289,171,0,4,10,spy9
135,296,0,5,10,lahi
443,29,0,5,10,
405,79,0,5,10,
386,111,0,5,10,
404,76,0,5,10,
314,363,0,7,10,petaro
297,371,0,7,10,tinkergoldswoth
320,399,0,7,10,ohjay
328,108,0,7,10,duelZoneSign
160,179,0,7,10,george
283,60,0,7,10,zer2
319,120,0,7,10,dustin
324,75,0,7,10,frodo
303,53,0,7,10,karla
362,125,0,7,10,
332,141,0,7,10,
356,8,0,7,11,
338,56,0,7,10,
347,15,0,7,11,
283,70,0,7,10,
361,11,0,7,11,
351,5,0,7,11,
331,12,0,7,11,
232,8,0,7,11,
375,14,0,7,11,
346,104,0,7,10,miranda
364,22,0,7,11,
305,135,0,7,10,
104,282,0,7,10,
121,309,0,7,10,
282,83,0,7,10,
336,48,0,7,10,
481,86,0,7,10,
393,51,0,7,10,
295,88,0,7,10,spy13
391,98,0,7,10,
402,110,0,7,10,Rick
473,90,0,7,10,
307,69,0,7,10,roger
172,184,0,7,10,
380,125,0,7,10,
318,59,0,7,10,valourcountess
134,200,0,7,10,
288,283,0,7,10,
166,65,0,7,10,
260,108,0,7,10,
301,89,0,7,10,
319,120,0,7,10,
279,205,0,7,10,
376,165,0,7,10,
396,155,0,7,10,
318,56,0,7,10,valourassistant
384,97,0,7,10,
145,180,0,7,10,
370,143,0,7,10,GuildHall20
126,212,0,7,10,
121,182,0,7,10,
263,124,0,7,10,
197,6,0,7,10,
318,56,0,7,10,
318,59,0,7,10,
411,184,0,7,10,
157,181,0,7,10,
290,284,0,7,10,
320,205,0,7,10,
144,223,0,7,10,chest
411,90,0,7,10,
436,94,0,7,10,
394,70,0,7,10,reise
347,87,0,7,10,signVendor
398,148,0,7,10,spyvalthief
286,53,1,7,10,chest
282,58,1,7,10,chest
286,68,1,7,10,chest
284,78,1,7,10,chest
306,80,1,7,10,chest
382,85,1,7,10,chest
394,85,1,7,10,chest
362,161,1,7,10,chest
359,161,1,7,10,chest
324,145,1,7,10,chest
332,135,1,7,10,chest
323,146,0,7,10,william
329,133,0,7,10,
366,107,0,7,10,
409,174,0,7,10,
395,50,1,7,10,chest
277,175,0,7,10,
409,46,0,7,10,
324,54,1,7,10,
389,146,0,7,10,GuildHall27
296,115,0,7,10,
154,214,0,7,10,
361,161,0,7,10,
497,67,1,7,10,
144,328,0,7,10,
119,195,0,7,10,
